kdrama_name,recommendations
Class of Lies,"['Extracurricular', '3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu', 'Revenge of Others', 'Beautiful World', 'My Strange Hero', 'Weak Hero Class 1']"
Rookie Historian Goo Hae Ryung,"['My Sassy Girl', 'The Tale of Nokdu', 'Love in the Moonlight', 'Search: WWW', 'My ID Is Gangnam Beauty', '100 Days My Prince']"
Justice,"['Punch', 'Lawless Lawyer', 'WATCHER', 'Beyond Evil', 'Memory', 'The Lies Within']"
Doctor Detective,"['The Running Mates: Human Rights', '38 Task Force']"
Miss Independent Ji Eun Season 2,['Miss Independent Ji Eun']
Our Baseball,['Hot Stove League']
Jal Pa Gin Love,
Everybody Say Kungdari,
Hotel del Luna,"['Goblin', 'Mystic Pop-Up Bar', ""It's Okay to Not Be Okay"", 'Sell Your Haunted House', 'Tomorrow', 'A Korean Odyssey']"
Wild Guys,['Unexpected Heroes']
Level Up,['My Secret Romance']
WATCHER,"['Stranger', 'Confession', 'Beyond Evil', 'Cruel City', 'Hello Monster', 'The Devil Judge']"
Love Affairs in the Afternoon,"['Before We Get Married', 'On the Way to the Airport', 'Secret Love Affair', 'The Interest of Love', 'My Unfamiliar Family', 'Valid Love']"
When You Love Yourself Season 2,
I Have Three Boyfriends,"['Bad Girlfriend', 'My ID Is Gangnam Beauty', 'Find Me if You Can']"
Designated Survivor: 60 Days,"['Vagabond', 'The K2', 'Money Heist: Korea - Joint Economic Area - Part 1', 'Chief of Staff', 'Misaeng: Incomplete Life', 'Undercover']"
Coffee Love Coffee Season 2,
"Will Be Okay, Never Die",
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","['Arthdal Chronicles: The Sword of Aramun', 'Alchemy of Souls', 'Vincenzo', 'Alchemy of Souls Season 2: Light and Shadow', 'Descendants of the Sun', 'Arthdal Chronicles Part 1: The Children of Prophecy']"
Short Paper Season 3,
Clumsy Love,
Love Playlist Season 4,"['Just One Bite', 'Age of Youth']"
Multi Personality Girl,
Biggest Fan,
Chief of Staff,"['Designated Survivor: 60 Days', 'Again My Life', 'Chief of Staff Season 2', 'The Devil Judge']"
Joseon Survival,"['Live Up to Your Name', 'My Only Love Song']"
Search: WWW,"['Forecasting Love and Weather', 'Avengers Social Club', 'XX', 'Because This Is My First Life', 'Start-Up', 'Love Is True']"
Partners for Justice Season 2,"['Medical Examiner Dr. Qin', 'Unnatural', ""God's Quiz: Reboot"", 'Pied Piper']"
Perfume,"['200 Pounds Beauty', 'A Business Proposal', 'Sumika Sumire', 'Birth of a Beauty', 'Switched', 'Coffee, Do Me a Favor']"
A Place in the Sun,"['Reunited Worlds', 'Doctor Stranger']"
Arthdal Chronicles Part 1: The Children of Prophecy,"['Alchemy of Souls', 'Vincenzo', 'Arthdal Chronicles: The Sword of Aramun', 'Queen Seon Duk', 'The Legend', 'Seirei no Moribito']"
What Happened to Mirae?,['Love Buzz']
Travel Through Romance Season 1.5,
Love Vlog,
In-Out Sider,
The Wind Blows,"['The Light in Your Eyes', ""A Thousand Days' Promise"", ""Don't Forget Me""]"
Not a Robot,"[""I'm Not a Robot"", 'Are You Human Too?', ""The Wife's Secret World"", 'AI', 'My Holo Love', 'Unusual Idol Love']"
Angel's Last Mission: Love,"[""It's Okay to Not Be Okay"", 'A Korean Odyssey', 'Doom at Your Service', 'My Love from the Star', 'My Girlfriend Is a Gumiho', 'Crush']"
One Spring Night,"['Something in the Rain', 'A Piece of Your Mind', 'Before We Get Married', 'When the Camellia Blooms', 'When the Weather Is Fine', 'Encounter']"
Anniversary Anyway,"['The Guilty Secret', 'The Temperature of Language: Our Nineteen', 'A-Teen', 'Failing in Love']"
Engineering Sensibility,
Shady Mom-in-Law,['My Father Is Strange']
Kim Is a Genius,
Dance No.15,
To My Beautiful Woo Ri,"['Flat', 'Wednesday 3:30 PM', ""Tell Me You've Changed"", 'Ano ko no, Toriko', 'What to Do with You']"
My Absolute Boyfriend,"['Zettai Kareshi', 'Are You Human Too?', 'My Roommate Is a Gumiho', 'My Holo Love', 'My Secret Romance', ""Angel's Last Mission: Love""]"
Voice Season 3: City of Accomplices,"['Voice Season 4: Judgment Hour', 'Special Affairs Team TEN', 'Signal', 'Evil Minds', 'Blind', 'Save Me Season 2']"
Dating Class,"['Love Playlist', 'Shujin-ko', 'The Lover', 'Girlfriend Project Day 1', 'Youtuber Class', 'Love Class']"
Save Me Season 2,"['Save Me', 'Trap', 'Vagabond', 'Extracurricular', 'Strangers from Hell', 'Crime Puzzle']"
Sweat Romance,
The Secret Life of My Secretary,"['A Business Proposal', ""What's Wrong with Secretary Kim"", 'The Beauty Inside', 'Crazy Love', 'Her Private Life', 'Skip Beat!']"
Abyss,"['Strong Woman Do Bong Soon', 'Doom at Your Service', ""Angel's Last Mission: Love"", 'Please Come Back, Mister', 'Possessed', 'The School Nurse Files']"
Different Dreams,"['Mr. Sunshine', 'Lost in 1949', 'The Bridal Mask', 'River Where the Moon Rises', 'The Age of Shadows', 'Doctor Stranger']"
The Best Ending,['Flower Ever After']
"Yum Yum, How Tasty!",['Wakako Zake']
Home for Summer,"['Second Husband', 'The Promise', ""I'm Sorry Kang Nam Goo"", 'Everything Kimchi', 'Bravo, My Life', 'Person Who Gives Happiness']"
The Nokdu Flower,"['Six Flying Dragons', 'My Country: The New Age', 'The Bridal Mask', 'Gunman In Joseon', 'Rebel: Thief Who Stole the People', 'Jejoongwon']"
A-Teen Season 2,"['The Guilty Secret', 'A-Teen', 'Please Classmate', 'The World of My 17 Season 2', 'Love Teenager', 'The Temperature of Language: Our Nineteen']"
My First First Love,"['My First First Love Season 2', 'Love Alarm', 'Kiss Scene in Yeonnamdong', 'Age of Youth', 'Wednesday 3:30 PM', 'Eulachacha Waikiki']"
Persona,"['Horror Delivery Service', 'Girl From Nowhere', 'The Table', 'Til Death Do Us Part', '76 Horror Bookstore', 'Shades of the Heart']"
When the Apple of Eye Shattered,
Her Private Life,"[""What's Wrong with Secretary Kim"", 'A Business Proposal', 'The Beauty Inside', 'Sh**ting Stars', 'Touch Your Heart', 'Crazy Love']"
Camellia,
I Hate Going to Work,['Misaeng: Incomplete Life']
Special Labor Inspector Jo,"['The Fiery Priest', 'Legal High', 'Strong Woman Do Bong Soon', 'Man to Man', 'Good Casting', 'The Uncanny Counter']"
Beautiful World,"['Nobody Knows', 'Weak Hero Class 1', 'Class of Lies', ""Solomon's Perjury"", 'Better Days', 'I Want to Know Your Parents']"
All-Boys High,"['The Boy Next Door', 'We Are Peaceful Brothers', 'Drama Special Season 7: The Legendary Lackey']"
How to Hate You,"['Dear.M', 'Cafe Midnight Season 3: The Curious Stalker', 'Just One Bite', 'Dalgona', 'A-Teen']"
My Fellow Citizens!,"['38 Task Force', 'Flower of Evil', 'Into the Ring', 'Good Manager', 'Switch: Change the World', 'All About My Romance']"
Farming Academy,['Silver Spoon']
Two Hearts,
Jeju Sea Water,
I Started Following Romance,
The Banker,['Stranger']
What a Wonderful World,
Eulachacha Waikiki Season 2,"['Gaus Electronics', 'Eulachacha Waikiki', 'The Sound of Your Heart: Reboot', 'Backstreet Rookie', 'So Not Worth it']"
Confession,"['WATCHER', 'Stranger', 'Flower of Evil', 'Signal', 'Remember: War of the Son', 'Doctor Prisoner']"
Kill It,"['My Name', 'Flower of Evil', 'Children of Nobody', 'Cruel City', 'Snowdrop', 'City Hunter']"
Mother of Mine,"['Marry Me Now', 'My Golden Life', 'All About My Mom', 'A Daughter Just Like You', 'My Healing Love', 'Why Women Love']"
Freshman,
On the Campus,
Nineteen,
Noise,
Doctor Prisoner,"['Hot Stove League', 'Stranger', 'Insider', 'The Devil Judge', 'Doctor John', 'Itaewon Class']"
Triple Fling,"['Triple Fling Season 2', 'Click Your Heart', 'Convenience Store Fling']"
"Fight Hard, Love Harder",
"Maybe, Maybe Not","['No Secrets', 'I  Can See Your MBTI', 'Meloholic', 'Kanakana', 'I Hear Your Voice']"
He Is Psychometric,"['Blind', 'While You Were Sleeping', 'The Game: Towards Zero', 'Memorist', 'Pinocchio', 'The Uncanny Counter']"
Romantic Witch's Starlight Sonata,
Just One Bite Season 2,"['Just One Bite', 'Real:Time:Love Season 2']"
Benton,"['My Romantic Some Recipe', ""Let's Eat Something, Anna""]"
"Oh, Yeojeong: Busan",
Big Issue,"['Search: WWW', 'Secret Boutique', 'Falsify', 'The Guardians', 'Argon', 'Night Light']"
Possessed,"['The Guest', 'Abyss', 'Bring It On, Ghost', 'Black', 'It Comes', 'Dark Hole']"
My Dear Friend,"['Five Steps to Accept Farewell', 'Am I The Only One With Butterflies? Season 1', 'Dear Uranus', 'Alice: Crack of Season', 'Hometown Cha-Cha-Cha']"
Can Love Be Refunded,
Love in Sadness,"['Let Me Introduce Her', 'Missing You', 'Woman of 9.9 Billion', 'Bad Guy', 'Kimi ga Kokoro ni Sumitsuita', 'My Heart Twinkle Twinkle']"
"Do You ""Truth or Dare"" with Me?",
Things That May Occur to You Today,
The Fiery Priest,"['Vincenzo', 'Good Manager', 'Good Casting', 'Special Labor Inspector Jo', 'Live Up to Your Name', 'Life on Mars']"
"Remember, Hari 2",
Office Watch Season 3,['Miss Independent Ji Eun']
"I Hate You, Juliet!","['Mute', 'Spark']"
Ghostderella,"['Spellbound', 'Drama Special Season 6: What Is the Ghost Doing?', 'Oh My Ghost', 'Hello Ghost', 'My Chilling Roommate', 'Ghost Love']"
About Youth,
We See Winter,
Travelogue,
Loss Time Life,['Reunited Worlds']
20+1,
The Light in Your Eyes,"['Youth of May', ""It's Okay, That's Love"", 'Go Back Couple', 'My Liberation Notes', 'The Sound of Magic', 'Hi Bye, Mama!']"
Haechi,"['Our Blooming Youth', 'Dong Yi', 'The Rise of Phoenixes', 'Bossam: Steal the Fate', 'Mr. Sunshine', 'The Tale of Nokdu']"
Item,"['Memories of the Alhambra', 'Psychopath Diary', 'The Fiery Priest', 'When Time Stopped']"
Snow Blossom,
Legal High,"['Special Labor Inspector Jo', 'Ishiko to Haneo: Sonna Koto de Uttaemasu?', 'Feel Good to Die', 'Legal High', 'Into the Ring', 'Spring Turns to Spring']"
Ugly Miss Young Ae Season 17,
Touch Your Heart,"['Goblin', 'A Business Proposal', ""What's Wrong with Secretary Kim"", 'Her Private Life', 'My Love from the Star', 'Suspicious Partner']"
Fancafe,
Love as You Taste,
It's Okay to Be Sensitive Season 2,"['Growing Season', ""It's Okay to Be Sensitive"", 'Age of Youth', 'Be Melodramatic', ""It's Okay to Be Sensitive Season 3"", 'Just One Bite']"
"Suddenly, Mood, First Love",
My Heart Flutters,
Tower of Babel,"['Misty', 'Money Flower', ""Show Window: The Queen's House"", 'Flower of Evil', 'Mine', 'Hide and Seek']"
Romance Is a Bonus Book,"['Something in the Rain', 'When the Weather Is Fine', 'Moonlight', 'A Poem a Day', 'Her Private Life', 'I Hear Your Voice']"
Kingdom,"['All of Us Are Dead', 'Train to Busan', 'Sweet Home', 'Happiness', 'Rampant', 'Search']"
Spring Turns to Spring,"['Avengers Social Club', 'The Beauty Inside', 'Feel Good to Die', 'Good Manager', 'Search: WWW', 'The Cursed']"
Wind-Bell,"['My First First Love', 'Persevere, Goo Hae Ra']"
Coffee Love Coffee,
Blessing of the Sea,
Re-Feel,['Love Playlist']
Liver or Die,"['The Firstborn', 'Ugly Alert', 'The Bond']"
The Crowned Clown,"['The Red Sleeve', ""The King's Affection"", 'Bloody Heart', 'The Tale of Nokdu', ""Under the Queen's Umbrella"", 'Queen: Love and War']"
"My Lawyer, Mr. Jo 2: Crime and Punishment",
"380,000 km Between You and Me",
Our Friendship 0.5cm,
Best Chicken,"['Wok of Love', 'Drinking Solo', 'Itaewon Class', 'Dali and the Cocky Prince', 'A Business Proposal', ""Let's Eat""]"
Left-Handed Wife,"['The Last Empress', 'Let Me Introduce Her', 'Love Twist', 'Nakark Kaew']"
Work & Love Balance,
Short Paper Season 2,
Moonlight Girls' High School,
I Need Standards,
Calm Down,
Number Six,
Mysterious Nurse,"[""The Master's Sun""]"
Discipline,['Discipline Z: Vampire']
Arim Inn the Forest,
My Strange Hero,"['Angry Mom', 'Class of Lies', 'Who Are You: School 2015', 'School 2017', 'Sassy Go Go', 'Gokusen']"
Drama Made with You,
Natural Romance,
When Life Gives You Lemons,
Less Than Evil,"['Inspector Koo', 'Pied Piper', 'Cruel City']"
Just Dance,"['Sassy Go Go', 'Age of Youth', 'The Tale of Nokdu', 'Sunny', 'Drama Special Season 10: Socialization – Understanding of Dance', 'Idol: The Coup']"
The Sound of Your Heart: Reboot Season 2,
Memories of the Alhambra,"['W', 'My Holo Love', 'Goblin', 'Imawa no Kuni no Alice', 'Cross Fire', 'Alice']"
Fates & Furies,"['Money Flower', 'Secret', 'Mask', 'Unknown Woman', 'Cunning Single Lady', 'Watashitachi wa Douka Shiteiru']"
Login to You,
"Coffee, Do Me a Favor","['Perfume', 'Queen of the Ring', 'Shining Na Ra', ""Witch's Love"", 'Mask Girl']"
Encounter,"['Find Yourself', 'One Spring Night', 'Chugakusei Nikki', 'She Would Never Know', 'Now, We Are Breaking Up', 'Hospital Ship']"
When You Love Yourself,"['Just One Bite', 'A-Teen', ""It's Okay to Be Sensitive"", 'The World of My 17', 'Weightlifting Fairy Kim Bok Joo']"
The Hymn of Death,"['Love, Lies', 'Mr. Sunshine', 'Youth of May', 'Chicago Typewriter', 'Luk Krung', 'One and Only']"
Clean with Passion for Now,"[""I'm Not a Robot"", 'Use for My Talent', ""What's Wrong with Secretary Kim"", 'About Is Love', 'Introverted Boss', 'Perfume']"
Gangnam Scandal,['Woman in a Veil']
Priest,"['The Cursed', 'The Guest', 'Grid', 'The Ghost Detective', 'The Priests', 'The Divine Fury']"
A Pledge to God,"['Person Who Gives Happiness', 'Drama Special Season 4: My Friend Is Still Alive', 'Left Right', '1 Litre no Namida', 'Okaasan, Ore wa Daijoubu', 'I Give My First Love to You']"
SKY Castle,"['The Penthouse: War in Life', 'Mine', 'The Penthouse Season 3: War in Life', 'Melancholia', 'The World of the Married', 'Little Women']"
Children of Nobody,"['Kill It', 'Nobody Knows', 'Silenced', 'SKY Castle', 'The Guest', 'Lost']"
The Last Empress,"['Return', 'Graceful Family', 'Queen of Ambition', 'The Penthouse: War in Life', 'King2Hearts', 'Beautiful Love, Wonderful Life']"
Lemon Car Video,
Top Star Yoo Baek,"['Hometown Cha-Cha-Cha', 'Once Upon a Small Town', 'Reply 1988', 'Crash Landing on You', 'When the Weather Is Fine', 'Love to Hate You']"
Between Us,
God's Quiz: Reboot,"['Partners for Justice Season 2', 'Children of a Lesser God']"
W.H.Y.,"['Warm and Cozy', 'A-Teen', 'SURF 101: Intro to Romance', 'Eulachacha Waikiki', 'One Fine Week', 'A Ticket to India']"
Autumn Blossom,
The Worst Break-up in My Life,
Feel Good to Die,"['Reset', 'Jugglers', 'Good Manager', 'Radiant Office', 'Psychopath Diary', 'Spring Turns to Spring']"
Dear My Room,"['Age of Youth', 'Kikazaru Koi ni wa Riyuu ga Atte', 'Your House Helper', '9 End 2 Outs', 'When the Weather Is Fine', 'Bio Homme']"
A Madly Realistic Story,
It's My Life,
Mama Fairy and the Woodcutter,"[""Witch's Love"", 'Ashes of Love', 'To All The Guys Who Loved Me', 'Was It Love?', 'Chicago Typewriter', 'Eternal Love']"
Mood Maker,
Your Imagination Becomes Reality,"['Wednesday 3:30 PM', 'My Woofy Poofy Love']"
I Picked Up a Star on the Road,"['Crazy Love', 'Eulachacha Waikiki', 'So I Married an Anti-Fan', 'Psychopath Diary', 'My Secret Romance', 'Definitely Not Today']"
Love Your Korea Glow,
Top Management,"['Imitation', 'Queen of the Ring', 'While You Were Sleeping', 'The Liar and His Lover', 'Hit the Top', 'Natsu no Koi wa Nijiiro ni Kagayaku']"
Fluttering Warning,"['Touch Your Heart', 'Intense Love', 'That Fool', 'Ruk Nee... Jhe Jud Hai', 'Rak Ork Akard', '20th Century Boy and Girl']"
The Sound of Your Heart: Reboot,['Eulachacha Waikiki Season 2']
Do Dream,['Dream High']
Want More 19,['Kiss Scene in Yeonnamdong']
When Time Stopped,"['The Light in Your Eyes', 'About Time', 'Item', 'Fall in Love With Him', 'Long For You 2', 'Black']"
Instant Romance,
Love Is Jungle,
Govengers,"['Best Mistake', 'Unexpected Heroes']"
Welcome to Heal Inn,
Fall In Love With Your Coffee,
My Healing Love,"['Dear Heaven', 'My Husband Oh Jak Doo', 'My Golden Life', 'Mother of Mine']"
Twelve Nights,"['Chugakusei Nikki', 'Drama Special Season 9: Too Bright For Romance', 'The Third Charm', 'The Package']"
Dae Jang Geum Is Watching,"['Chef Fang', ""Let's Eat"", 'Drinking Solo', ""Go Ho's Starry Night"", 'Jewel in the Palace']"
Matrimonial Chaos,"['My Liberation Notes', 'Go Back Couple', ""The Man Who Can't Get Married""]"
"Miss Ma, Nemesis","['Queen of Mystery', 'Checkmate', 'Defendant']"
Room No. 9,"['Class of Lies', 'Secret Garden', 'Tomorrow', 'Defendant', 'The Day of Becoming You', 'Spring Turns to Spring']"
YG Future Strategy Office,['The Producers']
The Smile Has Left Your Eyes,"['Just Between Lovers', 'Hello Monster', 'Flower of Evil', 'Healer', 'Come and Hug Me', ""It's Okay to Not Be Okay""]"
The Beauty Inside,"['Her Private Life', 'The Secret Life of My Secretary', ""What's Wrong with Secretary Kim"", 'Because This Is My First Life', 'A Business Proposal', 'Kill Me, Heal Me']"
Where Stars Land,"['Just Between Lovers', 'Tomorrow With You', 'A Poem a Day', 'She Would Never Know', ""I'm Not a Robot"", 'Forecasting Love and Weather']"
Bad Papa,"['Vivid Romance', 'Knock Out']"
Stray Directors,
Player,"['Taxi Driver', 'Switch: Change the World', 'Mad Dog', 'Leverage', '38 Task Force', 'Bad Guys']"
The Third Charm,"['Because This Is My First Life', 'Go Back Couple', 'Twenty-Five Twenty-One', 'Come and Hug Me', 'Le Coup de Foudre', 'Our Beloved Summer']"
Sweet and Salty Office,
Terius Behind Me,"['Healer', 'Good Casting', 'Psychopath Diary', 'When the Camellia Blooms', 'The Spies Who Loved Me', 'My Little Baby']"
Heart Surgeons,"['Surgeons', 'Doctors', 'Cross', 'Life']"
Love Playlist Season 3,"[""Pu Reum's Vlog"", 'Age of Youth']"
Devil Inspector Season 2,
Monkey and Dog Romance,['Panda and Hedgehog']
My Only One,"['Young Lady and Gentleman', 'Shining Inheritance', 'Homemade Love Story', ""You're Too Much"", 'Beautiful Love, Wonderful Life', 'Wonderful Days']"
The Guest,"['Sweet Home', 'The Wailing', 'Possessed', 'Save Me', 'Island', 'Memorist']"
Sleepless in Love,
100 Days My Prince,"['Shopping King Louie', 'Moon Embracing the Sun', 'The Tale of Nokdu', 'The Forbidden Marriage', 'Bossam: Steal the Fate', 'Start-Up']"
"Oh, Yeojeong: Summer",
Miss Kim's Secret Life,
Dokgo Rewind,"['Weak Hero Class 1', 'How to Buy a Friend', 'Justice High', 'The Uncanny Counter', 'HiGH&LOW THE WORST', 'Tong: Memories']"
Big Forest,
A Guy Friend 14 Days Before,
Devilish Joy,"['Touch Your Heart', '50th First Kiss', 'The Beauty Inside', 'My Girlfriend Is an Alien', 'Do Do Sol Sol La La Sol', 'The Greatest Love']"
The Ghost Detective,"['Zombie Detective', 'Vampire Detective', 'The Guest', 'Catch the Ghost', 'Train', 'Bring It On, Ghost']"
Madam Cha Dal Rae's Love,
"Go, Back Diary","['Flat', 'My First Love Is  Secret Love', 'Back to the 2008', 'On Your Wedding Day']"
MU:D Vol. 1,
Hide and Seek,"['Tower of Babel', 'TV Novel: Samsaengi', 'Come! Jang Bo Ri', ""A Hundred Year's Inheritance"", 'The Secret of My Love', 'Sunny Again Tomorrow']"
Society Obsessed with Love,['Poetry Story']
Sweet Revenge Season 2,"['Sweet Revenge', 'Love Alarm', 'School 2017', 'Sweet Combat', 'Moment at Eighteen', 'Hunted']"
Lovely Horribly,"[""The Master's Sun"", 'Count Your Lucky Stars', 'W', 'Amensalism', 'Sell Your Haunted House', 'Chicago Typewriter']"
Voice Season 2,"['Voice', 'Flower of Evil', 'Save Me Season 2', 'Save Me', 'Bad Guys', 'Taxi Driver']"
Travel Through Romance Season 2,
No Time for Love,['Naughty Boy']
Doo Teob's Pretty Easy School Life,
"Remember, Hari","['Nightmare Teacher', 'School 2017']"
Familiar Wife,"['18 Again', 'Go Back Couple', 'Welcome 2 Life', 'The Golden Spoon', 'Hi Bye, Mama!', 'Emergency Couple']"
My ID Is Gangnam Beauty,"['True Beauty', 'Cheese in the Trap', 'Weightlifting Fairy Kim Bok Joo', 'Love O2O', 'At a Distance, Spring Is Green', 'Fish Upon the Sky']"
Taste of Cat,"['Meow, the Secret Boy', ""Cat's Bar"", 'Make a Wish', 'Meow Ears Up', 'I’m a Pet at Dali Temple', 'My Fantastic Mrs Right']"
Love After School Season 2,['Love After School']
Your Honor,"['Switch: Change the World', 'Good Manager', 'Train', 'High School King of Savvy', 'Drama Special Series Season 3: Sirius', 'Judge vs. Judge']"
Time,"['Secret', 'Uncontrollably Fond', 'My Mister', 'Mask', 'The Innocent Man', 'Introverted Boss']"
Witch's Love,"['Mama Fairy and the Woodcutter', ""What's Wrong with Secretary Kim"", ""The Witch's Diner"", 'Oh My Ghost', 'Coffee, Do Me a Favor']"
Love in Time,"['Tomorrow With You', 'One More Time', 'Let Me Off the Earth', 'Someday or One Day', 'A Day', 'Somehow 18']"
Thirty But Seventeen,"['18 Again', 'Weightlifting Fairy Kim Bok Joo', ""I'm Not a Robot"", 'Just Between Lovers', 'Kill Me, Heal Me', 'Melting Me Softly']"
Life,"['Stranger', 'White Tower', 'Hot Stove League', 'D-Day', 'My Liberation Notes', 'Misaeng: Incomplete Life']"
Risky Romance,"['Oh My Venus', 'Behind Your Smile', 'Lhong Ngao Jun', 'Cain and Abel']"
Love to the End,
Between Friendship and Love Season 3,"['Between Friendship and Love', 'Between Friendship and Love Season 2']"
Oh My Captain,
Short Paper: Side Story,
Just One Bite,"['Just One Bite Season 2', 'Love Playlist Season 4', 'How to Hate You', 'When You Love Yourself', ""It's Okay to Be Sensitive Season 2"", 'Flat']"
Tofu Personified,"['Meow, the Secret Boy', 'Semi Otoko', ""Cat's Bar"", 'Kimi wa Petto']"
Let's Eat Season 3,"[""Let's Eat Season 2"", ""Let's Eat"", 'Drinking Solo', 'Reply 1994']"
Let Me Introduce Her,"['Love in Sadness', 'Birth of a Beauty', 'Mask', 'My Heart Twinkle Twinkle', 'Left-Handed Wife', 'Golden Garden']"
Naughty Boy,"['Ga Doo Ri’s Sushi Restaurant', 'No Time for Love']"
It's Okay to Be Sensitive,"['Growing Season', 'Be Melodramatic', ""It's Okay to Be Sensitive Season 2"", 'Age of Youth', ""It's Okay to Be Sensitive Season 3"", 'Kim Ji Young: Born 1982']"
Mr. Sunshine,"['Youth of May', 'Gunman In Joseon', 'Chicago Typewriter', 'The Bridal Mask', 'Goblin', 'Arsenal Military Academy']"
Your House Helper,"['Hometown Cha-Cha-Cha', 'Personal Taste', 'Live Your Life', 'The Suspicious Housekeeper', 'Be Melodramatic', 'Drinking Solo']"
A-Teen,"['Love Revolution', 'Twenty-Twenty', 'Seventeen', 'Just an Encore', 'W.H.Y.', 'A-Teen Season 2']"
Secrets and Lies,
Because It's My First Time,
"Eat, Fight, and Live Together",
Life on Mars,"['Signal', 'Tunnel', 'Train', 'The Fiery Priest', 'Reborn Rich', 'Boku Dake ga Inai Machi']"
Afternoon in a Small City,
What's Wrong with Secretary Kim,"['A Business Proposal', 'Her Private Life', 'Well Dominated Love', 'The Secret Life of My Secretary', 'Poisoned Love', 'Touch Your Heart']"
SURF 101: Intro to Romance,['W.H.Y.']
Are You Human Too?,"[""I'm Not a Robot"", 'Circle', 'My Holo Love', 'Duel', 'My Absolute Boyfriend', 'I Am...']"
My Woofy Poofy Love,"['Choco Milk Shake', 'My Romantic Some Recipe', 'Meow, the Secret Boy', 'Kimi wa Petto', 'Kimi wa Petto', 'This Summer']"
"I'm a Mother, Too",['Loving You a Thousand Times']
Goodbye to Goodbye,"['On the Way to the Airport', 'Trolley', 'Heard It Through the Grapevine', 'Our Blues']"
Sketch,"['While You Were Sleeping', 'Voice', 'Under the Skin', 'Children of a Lesser God', 'Tell Me What You Saw', 'Taxi Driver']"
The Undateables,"['Her Private Life', 'To All The Guys Who Loved Me', 'Lucky Romance', 'She Was Pretty', 'Dating Agency: Cyrano', ""Murphy's Law of Love""]"
Miss Hammurabi,"['Suspicious Partner', 'Into the Ring', 'Extraordinary Attorney Woo', 'Lawless Lawyer', 'The Law Cafe', 'The Devil Judge']"
About Time,"['Black', ""The Master's Sun"", 'Do You Like Brahms?', 'Oh My Ladylord', '4-punkan no Marigold', ""Love O'Clock""]"
"Not Alright, But It's Alright","['Misaeng: Incomplete Life', 'Zom 100: Bucket List of the Dead']"
Come and Hug Me,"['Just Between Lovers', 'Flower of Evil', ""It's Okay to Not Be Okay"", 'He Is Psychometric', 'Angel Eyes', 'Hello Monster']"
Room of Romance,
Partners for Justice,"['Unnatural', 'The First Responders', 'Sign', 'I Know Your Secret', 'The Listener', ""God's Quiz""]"
Lawless Lawyer,"['Vincenzo', 'The K2', ""Witch's Court"", 'Taxi Driver', 'Suspicious Partner', 'Graceful Family']"
Secret Mother,"['Woman of Dignity', 'Children of Nobody', 'SKY Castle', 'Mine', 'High Class', 'Kairos']"
Rich Man,"['A Business Proposal', 'Start-Up', 'The Beauty Inside', 'My Holo Love', 'Introverted Boss', 'Because This Is My First Life']"
"Oh, Yeojeong",
Wok of Love,"['Pasta', 'Dali and the Cocky Prince', 'Oh My Ghost', 'Best Chicken', 'Itaewon Class', 'Jealousy Incarnate']"
Sunny Again Tomorrow,"['No Matter What', 'Homemade Love Story', 'My Father Is Strange', 'A Tale of Two Sisters', 'Golden Garden', 'Love Returns']"
My Ex Diary,
Short Paper,
Mistress,"['Misty', 'The World of the Married', ""God's Gift: 14 Days"", 'Save Me', 'Avengers Social Club', 'The Good Wife']"
Suits,"['The Devil Judge', 'Lawless Lawyer', 'The Best Partner', 'Misaeng: Incomplete Life', 'Law School', ""Witch's Court""]"
Room Of Her Own,
Best Teamwork,
Sweaty House,
Shall We Link Season 2,
"City's Night, Star",
Crushes Reverse,"['Someway', 'A River Runs Through It', 'Falling in Love']"
Miracle That We Met,"['Please Come Back, Mister', 'Spring Turns to Spring', 'Abyss', 'The Dude in Me', 'My Wife’s Having an Affair This Week', 'Wonderful Nightmare']"
Something in the Rain,"['One Spring Night', 'Romance Is a Bonus Book', 'She Would Never Know', ""What's Up, Fox?"", 'Secret Love Affair', 'I Need Romance Season 3']"
Soul Driver,['Green Door']
Switch: Change the World,"['Your Honor', 'Player', 'Hello Monster', '38 Task Force', 'Mask', 'My Fellow Citizens!']"
Fork You Boss Season 2,
A Poem a Day,"['Drinking Solo', 'More Than Friends', 'Romance Is a Bonus Book', 'A Piece of Your Mind', 'Hospital Playlist', 'Marriage, Not Dating']"
Rich Family's Son,['My Father Is Strange']
Luv Pub,['Love Playlist']
Travel Through Romance,
My Mister,"['My Liberation Notes', 'Just Between Lovers', 'Call It Love', 'Prison Playbook', 'Lost', 'Flower of Evil']"
Miss Independent Ji Eun,"['Miss Independent Ji Eun Season 2', 'Office Watch Season 3', 'Work Later, Drink Now Season 2']"
Let's Hold Hands Tightly and Watch The Sunset,
Marry Me Now,"['Mother of Mine', 'Glorious Day', 'Five Enough', 'Once Again', 'Be My Dream Family', 'Can We Get Married?']"
Number Woman Gye Sook Ja,
Campus Romance Today's Drinking Diary,
To You Who Begins to Love,
Tempted,"['Nevertheless,', 'Cheese in the Trap', 'Untold Scandal', 'The Innocent Man', 'The Heirs', 'High Society']"
