kdrama_name,recommendations
The Sound of Magic,"['My Mister', 'The Light in Your Eyes', ""Young Actors' Retreat"", 'The School Nurse Files', 'Goblin', 'Better Days']"
Youn Hee's Love,
Never Give Up,"['I Have Not Done My Best Yet', 'Her Private Life', 'Stock Struck']"
Bloody Heart,"['The Crowned Clown', ""Under the Queen's Umbrella"", 'Moon Lovers: Scarlet Heart Ryeo', 'The Red Sleeve', 'Our Blooming Youth', 'Moon Embracing the Sun']"
Usual Yet Unusual,
Monstrous,"['Dark Hole', 'The Guest', 'Incantation', 'Happiness', 'The Cursed', 'Hellbound']"
The Supernatural Agent,
The Killer's Shopping List,"['Link: Eat, Love, Kill', 'From Now On, Showtime!', 'Inspector Koo', 'Vincenzo', 'Team Bulldog: Off-duty Investigation', 'Psychopath Diary']"
Ocean Likes Me,"['To My Star', 'Where Your Eyes Linger', ""Master's Delicacies"", 'The Love that Dare Not Speak Its Name', 'Kitchen for Singles', 'Ingredients']"
The Escape Story of a Plastic Spoon,
"From Now On, Showtime!","['Mystic Pop-Up Bar', 'Hotel del Luna', 'The Great Shaman Ga Doo Shim', 'Good Job', 'Zombie Detective', 'Bring It On, Ghost']"
Sh**ting Stars,"['So I Married an Anti-Fan', 'Her Private Life', 'Tsumari Suki tte iitai n Dakedo,', 'Touch Your Heart', 'Let Me Be Your Knight', 'The Producers']"
Turned on by You,
Love All Play,"['Twenty-Five Twenty-One', 'Run On', 'Weightlifting Fairy Kim Bok Joo', 'Racket Boys', 'Hometown Cha-Cha-Cha', 'At a Distance, Spring Is Green']"
Broke Rookie Star,['Let Me Be Your Knight']
My Rocket Ship,
"Bravo, My Life","['Because of Meeting You', 'Bad Love', 'Beautiful Love, Wonderful Life', 'Come! Jang Bo Ri', 'Person Who Gives Happiness', 'Unasked Family']"
The Secret House,"['Bad Thief, Good Thief', 'Bread, Love and Dreams', 'Again My Life']"
Shinjikki,
Our Blues,"['Hometown Cha-Cha-Cha', 'My Liberation Notes', 'Meet Yourself', 'Once Upon a Small Town', 'The Package', 'Left Right']"
My Liberation Notes,"['My Mister', 'Our Blues', 'Summer Strike', 'Lost', 'When the Weather Is Fine', 'Call It Love']"
Again My Life,"['Reborn Rich', 'The Devil Judge', 'Lawless Lawyer', '18 Again', 'Rugal', 'Vincenzo']"
Green Mothers' Club,"['High Class', 'SKY Castle', 'Avengers Social Club', 'Secret Mother', 'Ex-Girlfriend Club', 'Little Women']"
Bubble Up,
It's Beautiful Now,"['Golden Pouch', 'The Three GentleBros', 'Once Again', 'Blow Breeze', 'My Father Is Strange', 'Heard It Through the Grapevine']"
Tomorrow,"['Hotel del Luna', 'Mystic Pop-Up Bar', 'The Uncanny Counter', 'Move to Heaven', 'Sell Your Haunted House', 'Goblin']"
Tell Me Sick,
Blueming,"['We Best Love: No. 1 For You', 'I Promised You the Moon', 'To My Star', 'Where Your Eyes Linger', 'Semantic Error', 'Old Fashion Cupcake']"
